DstPort,Protocol,Tag
35264,udp,Tag_79
34756,udp,Tag_106
34756,udp,Tag_18
34756,icmp,Tag_41
35264,udp,Tag_157
35264,tcp,Tag_80
35264,icmp,Tag_196
34756,icmp,Tag_43
23644,udp,Tag_117
34756,tcp,Tag_164
23644,udp,Tag_192
35264,icmp,Tag_172
23644,icmp,Tag_55
23644,tcp,Tag_33
12244,icmp,Tag_105
12244,icmp,Tag_146
12244,udp,Tag_101
35264,icmp,Tag_46
12244,icmp,Tag_92
23644,tcp,Tag_4
12244,icmp,Tag_42
35264,icmp,Tag_49
34756,icmp,Tag_108
35264,udp,Tag_125
35264,icmp,Tag_127
23644,udp,Tag_65
34756,tcp,Tag_115
34756,icmp,Tag_200
35264,icmp,Tag_180
35264,icmp,Tag_186
35264,icmp,Tag_116
34756,icmp,Tag_199
35264,udp,Tag_76
35264,tcp,Tag_136
34756,icmp,Tag_2
12244,udp,Tag_192
23644,icmp,Tag_21
23644,tcp,Tag_110
35264,tcp,Tag_40
12244,udp,Tag_83
12244,icmp,Tag_173
35264,udp,Tag_166
34756,icmp,Tag_134
35264,udp,Tag_38
35264,tcp,Tag_164
23644,icmp,Tag_62
23644,udp,Tag_174
35264,udp,Tag_64
35264,icmp,Tag_3
23644,icmp,Tag_179
34756,icmp,Tag_177
35264,tcp,Tag_93
34756,icmp,Tag_59
34756,tcp,Tag_88
34756,tcp,Tag_4
23644,udp,Tag_196
35264,tcp,Tag_15
35264,udp,Tag_184
35264,icmp,Tag_15
35264,icmp,Tag_56
23644,icmp,Tag_23
35264,udp,Tag_102
35264,udp,Tag_178
35264,tcp,Tag_143
34756,icmp,Tag_169
35264,tcp,Tag_44
23644,tcp,Tag_129
12244,tcp,Tag_156
23644,icmp,Tag_42
35264,udp,Tag_31
12244,tcp,Tag_184
34756,icmp,Tag_4
23644,udp,Tag_132
12244,icmp,Tag_1
23644,udp,Tag_174
35264,udp,Tag_150
35264,icmp,Tag_13
12244,tcp,Tag_110
12244,icmp,Tag_186
34756,tcp,Tag_135
34756,icmp,Tag_6
35264,tcp,Tag_92
35264,icmp,Tag_22
34756,tcp,Tag_9
35264,icmp,Tag_42
34756,icmp,Tag_16
23644,tcp,Tag_10
34756,udp,Tag_52
34756,tcp,Tag_153
35264,icmp,Tag_134
35264,icmp,Tag_4
35264,icmp,Tag_164
12244,icmp,Tag_154
23644,udp,Tag_106
23644,icmp,Tag_23
35264,tcp,Tag_30
35264,icmp,Tag_123
12244,icmp,Tag_146
34756,udp,Tag_11
35264,tcp,Tag_77
23644,tcp,Tag_187
35264,icmp,Tag_160
34756,tcp,Tag_94
35264,icmp,Tag_7
35264,icmp,Tag_162
35264,tcp,Tag_76
35264,udp,Tag_51
34756,udp,Tag_175
23644,icmp,Tag_31
35264,udp,Tag_29
34756,icmp,Tag_132
35264,udp,Tag_173
12244,tcp,Tag_96
35264,tcp,Tag_94
23644,tcp,Tag_92
35264,tcp,Tag_87
35264,udp,Tag_34
35264,icmp,Tag_68
12244,tcp,Tag_150
12244,icmp,Tag_103
35264,icmp,Tag_91
35264,icmp,Tag_54
35264,udp,Tag_176
23644,udp,Tag_4
34756,tcp,Tag_143
35264,tcp,Tag_153
23644,tcp,Tag_142
12244,tcp,Tag_64
35264,udp,Tag_33
35264,tcp,Tag_67
35264,icmp,Tag_36
23644,udp,Tag_179
35264,tcp,Tag_7
35264,udp,Tag_45
34756,tcp,Tag_80
35264,icmp,Tag_62
35264,udp,Tag_130
12244,tcp,Tag_92
12244,icmp,Tag_139
34756,udp,Tag_134
12244,udp,Tag_143
35264,icmp,Tag_189
12244,udp,Tag_14
35264,tcp,Tag_140
12244,icmp,Tag_95
35264,icmp,Tag_62
35264,icmp,Tag_184
35264,tcp,Tag_139
35264,icmp,Tag_91
34756,tcp,Tag_197
23644,udp,Tag_144
34756,tcp,Tag_39
23644,tcp,Tag_93
35264,udp,Tag_139
12244,tcp,Tag_27
35264,tcp,Tag_118
35264,icmp,Tag_180
34756,udp,Tag_17
12244,tcp,Tag_81
34756,tcp,Tag_104
34756,udp,Tag_7
34756,tcp,Tag_95
34756,tcp,Tag_150
35264,tcp,Tag_83
12244,udp,Tag_105
23644,udp,Tag_126
23644,icmp,Tag_27
34756,tcp,Tag_172
35264,tcp,Tag_97
12244,tcp,Tag_178
35264,icmp,Tag_160
23644,udp,Tag_174
23644,icmp,Tag_156
23644,udp,Tag_54
23644,udp,Tag_122
35264,udp,Tag_99
35264,tcp,Tag_187
12244,icmp,Tag_58
23644,icmp,Tag_143
35264,tcp,Tag_150
23644,udp,Tag_11
12244,tcp,Tag_76
35264,tcp,Tag_67
34756,tcp,Tag_7
35264,udp,Tag_25
23644,icmp,Tag_147
35264,udp,Tag_73
12244,icmp,Tag_121
35264,icmp,Tag_86
23644,tcp,Tag_165
23644,tcp,Tag_159
12244,icmp,Tag_127
23644,udp,Tag_164
35264,udp,Tag_185
34756,udp,Tag_39
23644,icmp,Tag_113
35264,icmp,Tag_140
35264,udp,Tag_132
23644,icmp,Tag_139
34756,tcp,Tag_153
23644,tcp,Tag_45
35264,tcp,Tag_117
34756,icmp,Tag_139
35264,tcp,Tag_147
23644,tcp,Tag_28
35264,tcp,Tag_38
34756,icmp,Tag_191
12244,udp,Tag_110
35264,udp,Tag_47
12244,icmp,Tag_85
35264,tcp,Tag_71
35264,udp,Tag_157
23644,icmp,Tag_161
35264,tcp,Tag_94
35264,udp,Tag_163
23644,tcp,Tag_82
34756,tcp,Tag_49
34756,udp,Tag_91
12244,icmp,Tag_198
35264,udp,Tag_184
23644,icmp,Tag_49
35264,udp,Tag_118
23644,tcp,Tag_19
35264,tcp,Tag_91
35264,icmp,Tag_24
12244,icmp,Tag_174
35264,icmp,Tag_125
35264,udp,Tag_145
35264,udp,Tag_22
34756,udp,Tag_185
23644,tcp,Tag_149
12244,udp,Tag_64
35264,udp,Tag_80
23644,icmp,Tag_117
34756,tcp,Tag_92
12244,udp,Tag_157
35264,udp,Tag_3
34756,icmp,Tag_30
34756,icmp,Tag_126
23644,icmp,Tag_143
35264,icmp,Tag_128
34756,udp,Tag_130
12244,udp,Tag_97
35264,icmp,Tag_175
35264,tcp,Tag_21
35264,udp,Tag_151
12244,tcp,Tag_99
12244,tcp,Tag_88
12244,tcp,Tag_149
23644,icmp,Tag_131
12244,tcp,Tag_76
34756,tcp,Tag_78
12244,icmp,Tag_5
35264,icmp,Tag_85
12244,udp,Tag_19
34756,udp,Tag_163
35264,udp,Tag_199
35264,icmp,Tag_43
23644,udp,Tag_27
12244,tcp,Tag_143
12244,udp,Tag_135
12244,icmp,Tag_190
12244,tcp,Tag_11
34756,tcp,Tag_32
35264,icmp,Tag_154
23644,tcp,Tag_25
35264,icmp,Tag_61
12244,tcp,Tag_155
35264,tcp,Tag_53
34756,icmp,Tag_53
35264,udp,Tag_13
34756,udp,Tag_143
34756,icmp,Tag_130
35264,tcp,Tag_95
12244,icmp,Tag_170
35264,udp,Tag_60
34756,icmp,Tag_142
23644,tcp,Tag_174
34756,udp,Tag_142
34756,icmp,Tag_91
34756,tcp,Tag_111
12244,tcp,Tag_118
35264,icmp,Tag_57
12244,udp,Tag_144
35264,icmp,Tag_32
35264,icmp,Tag_99
35264,udp,Tag_23
12244,tcp,Tag_131
35264,icmp,Tag_38
34756,udp,Tag_144
34756,udp,Tag_174
35264,udp,Tag_114
34756,udp,Tag_27
34756,icmp,Tag_193
34756,udp,Tag_131
35264,udp,Tag_19
12244,tcp,Tag_86
12244,tcp,Tag_193
35264,icmp,Tag_52
23644,tcp,Tag_44
34756,icmp,Tag_96
35264,icmp,Tag_199
35264,udp,Tag_179
35264,icmp,Tag_137
35264,tcp,Tag_15
35264,udp,Tag_126
12244,tcp,Tag_153
35264,udp,Tag_29
34756,tcp,Tag_130
12244,icmp,Tag_199
35264,udp,Tag_99
35264,udp,Tag_170
35264,icmp,Tag_156
23644,icmp,Tag_188
35264,udp,Tag_9
12244,tcp,Tag_137
34756,tcp,Tag_130
35264,icmp,Tag_4
23644,udp,Tag_13
23644,icmp,Tag_5
34756,icmp,Tag_125
35264,icmp,Tag_138
12244,udp,Tag_158
12244,tcp,Tag_173
23644,udp,Tag_21
35264,icmp,Tag_60
35264,tcp,Tag_117
35264,udp,Tag_126
12244,udp,Tag_2
23644,icmp,Tag_49
12244,tcp,Tag_16
12244,icmp,Tag_126
35264,icmp,Tag_170
35264,tcp,Tag_95
12244,udp,Tag_161
34756,tcp,Tag_91
35264,tcp,Tag_92
35264,tcp,Tag_49
12244,udp,Tag_108
34756,udp,Tag_183
12244,udp,Tag_32
23644,tcp,Tag_112
34756,tcp,Tag_60
34756,icmp,Tag_100
12244,tcp,Tag_71
35264,udp,Tag_53
23644,udp,Tag_97
35264,tcp,Tag_55
35264,icmp,Tag_25
34756,icmp,Tag_169
23644,icmp,Tag_52
35264,udp,Tag_92
12244,tcp,Tag_144
23644,tcp,Tag_93
12244,icmp,Tag_166
35264,tcp,Tag_51
12244,udp,Tag_137
35264,tcp,Tag_193
12244,icmp,Tag_79
35264,tcp,Tag_17
23644,udp,Tag_177
35264,icmp,Tag_93
23644,tcp,Tag_95
12244,icmp,Tag_115
23644,tcp,Tag_128
23644,udp,Tag_77
12244,icmp,Tag_188
34756,tcp,Tag_85
35264,icmp,Tag_8
34756,tcp,Tag_12
12244,udp,Tag_81
23644,udp,Tag_163
35264,udp,Tag_127
35264,icmp,Tag_57
34756,icmp,Tag_83
12244,icmp,Tag_124
12244,icmp,Tag_114
23644,udp,Tag_189
35264,icmp,Tag_49
35264,udp,Tag_36
12244,tcp,Tag_146
12244,udp,Tag_171
12244,udp,Tag_146
12244,tcp,Tag_69
34756,udp,Tag_25
34756,tcp,Tag_28
35264,tcp,Tag_101
34756,udp,Tag_111
23644,tcp,Tag_124
35264,tcp,Tag_56
34756,tcp,Tag_44
34756,tcp,Tag_38
23644,icmp,Tag_11
12244,icmp,Tag_43
23644,icmp,Tag_195
23644,icmp,Tag_163
35264,tcp,Tag_178
34756,tcp,Tag_77
35264,tcp,Tag_181
35264,tcp,Tag_85
34756,icmp,Tag_84
35264,tcp,Tag_70
12244,icmp,Tag_95
35264,icmp,Tag_61
23644,tcp,Tag_165
23644,tcp,Tag_196
34756,icmp,Tag_4
23644,icmp,Tag_128
23644,udp,Tag_198
35264,udp,Tag_167
35264,tcp,Tag_151
35264,udp,Tag_43
23644,udp,Tag_37
23644,tcp,Tag_18
23644,icmp,Tag_146
23644,udp,Tag_196
23644,udp,Tag_47
35264,tcp,Tag_77
12244,tcp,Tag_88
35264,icmp,Tag_188
12244,tcp,Tag_63
34756,icmp,Tag_109
12244,udp,Tag_195
34756,udp,Tag_68
35264,tcp,Tag_146
35264,tcp,Tag_159
34756,icmp,Tag_130
34756,tcp,Tag_93
34756,tcp,Tag_147
35264,icmp,Tag_89
12244,icmp,Tag_93
35264,tcp,Tag_88
12244,icmp,Tag_165
12244,udp,Tag_67
12244,icmp,Tag_198
34756,tcp,Tag_132
35264,udp,Tag_143
23644,udp,Tag_198
12244,udp,Tag_46
34756,icmp,Tag_33
23644,icmp,Tag_63
35264,udp,Tag_142
35264,tcp,Tag_60
12244,udp,Tag_19
34756,tcp,Tag_195
35264,icmp,Tag_111
34756,icmp,Tag_197
34756,tcp,Tag_96
34756,tcp,Tag_119
35264,icmp,Tag_183
23644,icmp,Tag_73
35264,udp,Tag_157
12244,tcp,Tag_133
35264,tcp,Tag_145
35264,icmp,Tag_9
35264,icmp,Tag_72
12244,udp,Tag_155
35264,udp,Tag_32
12244,tcp,Tag_170
34756,tcp,Tag_2
34756,icmp,Tag_94
23644,udp,Tag_159
35264,icmp,Tag_28
23644,tcp,Tag_68
12244,tcp,Tag_97
35264,tcp,Tag_125
12244,udp,Tag_27
35264,icmp,Tag_177
12244,udp,Tag_170
35264,tcp,Tag_125
35264,udp,Tag_66
23644,icmp,Tag_25
12244,icmp,Tag_70
34756,udp,Tag_6
12244,tcp,Tag_200
12244,tcp,Tag_6
23644,tcp,Tag_26
35264,tcp,Tag_113
12244,udp,Tag_157
23644,tcp,Tag_136
35264,tcp,Tag_141
12244,udp,Tag_51
34756,tcp,Tag_30
35264,tcp,Tag_167
23644,udp,Tag_200
23644,udp,Tag_38
34756,tcp,Tag_71
23644,udp,Tag_174
34756,icmp,Tag_39
34756,tcp,Tag_140
12244,tcp,Tag_54
35264,tcp,Tag_85
34756,tcp,Tag_22
12244,icmp,Tag_140
35264,tcp,Tag_92
23644,icmp,Tag_90
35264,tcp,Tag_163
23644,tcp,Tag_184
35264,udp,Tag_103
35264,tcp,Tag_85
34756,udp,Tag_136
35264,tcp,Tag_85
23644,udp,Tag_85
23644,udp,Tag_156
12244,tcp,Tag_120
35264,tcp,Tag_58
35264,udp,Tag_66
35264,tcp,Tag_6
35264,udp,Tag_8
12244,tcp,Tag_135
35264,udp,Tag_73
12244,tcp,Tag_6
34756,tcp,Tag_19
34756,icmp,Tag_53
35264,udp,Tag_139
35264,udp,Tag_173
35264,icmp,Tag_47
23644,tcp,Tag_109
34756,udp,Tag_179
34756,udp,Tag_89
35264,tcp,Tag_161
35264,icmp,Tag_198
12244,tcp,Tag_156
35264,icmp,Tag_24
34756,tcp,Tag_17
12244,udp,Tag_156
23644,tcp,Tag_13
35264,icmp,Tag_84
35264,icmp,Tag_124
23644,icmp,Tag_190
35264,tcp,Tag_134
12244,udp,Tag_72
34756,udp,Tag_131
35264,udp,Tag_90
34756,tcp,Tag_32
35264,udp,Tag_191
35264,tcp,Tag_32
12244,udp,Tag_127
12244,tcp,Tag_67
34756,icmp,Tag_130
35264,tcp,Tag_128
12244,udp,Tag_168
35264,udp,Tag_25
35264,udp,Tag_75
34756,udp,Tag_195
12244,icmp,Tag_33
12244,udp,Tag_13
23644,udp,Tag_18
35264,tcp,Tag_147
23644,udp,Tag_188
12244,icmp,Tag_167
23644,tcp,Tag_41
35264,icmp,Tag_119
12244,icmp,Tag_114
35264,icmp,Tag_12
34756,udp,Tag_125
34756,udp,Tag_195
23644,tcp,Tag_157
34756,icmp,Tag_181
35264,icmp,Tag_128
12244,udp,Tag_136
12244,udp,Tag_41
35264,icmp,Tag_19
12244,tcp,Tag_84
35264,tcp,Tag_28
34756,tcp,Tag_22
35264,udp,Tag_20
35264,tcp,Tag_183
34756,tcp,Tag_200
35264,tcp,Tag_38
34756,udp,Tag_38
23644,tcp,Tag_177
35264,icmp,Tag_182
35264,udp,Tag_130
35264,tcp,Tag_91
12244,icmp,Tag_156
34756,icmp,Tag_195
23644,udp,Tag_103
34756,udp,Tag_195
34756,icmp,Tag_100
34756,tcp,Tag_121
35264,udp,Tag_89
23644,udp,Tag_37
35264,icmp,Tag_119
35264,udp,Tag_195
23644,tcp,Tag_98
34756,icmp,Tag_186
23644,tcp,Tag_27
12244,tcp,Tag_29
35264,udp,Tag_6
23644,icmp,Tag_84
34756,udp,Tag_162
12244,tcp,Tag_7
35264,udp,Tag_125
12244,udp,Tag_163
35264,udp,Tag_12
12244,icmp,Tag_105
35264,icmp,Tag_63
35264,icmp,Tag_138
34756,udp,Tag_48
12244,icmp,Tag_34
12244,udp,Tag_79
23644,icmp,Tag_132
12244,udp,Tag_15
35264,tcp,Tag_65
35264,icmp,Tag_19
23644,icmp,Tag_112
35264,icmp,Tag_11
34756,icmp,Tag_150
23644,tcp,Tag_24
12244,tcp,Tag_166
12244,tcp,Tag_25
34756,icmp,Tag_67
35264,tcp,Tag_99
35264,udp,Tag_168
35264,icmp,Tag_188
12244,tcp,Tag_87
35264,tcp,Tag_5
34756,tcp,Tag_101
35264,icmp,Tag_104
23644,tcp,Tag_130
23644,icmp,Tag_125
12244,udp,Tag_86
23644,tcp,Tag_148
12244,icmp,Tag_65
12244,udp,Tag_21
35264,tcp,Tag_99
34756,icmp,Tag_39
23644,udp,Tag_83
35264,tcp,Tag_16
12244,tcp,Tag_130
23644,udp,Tag_19
35264,icmp,Tag_77
35264,tcp,Tag_65
35264,tcp,Tag_98
23644,udp,Tag_188
12244,udp,Tag_21
12244,tcp,Tag_152
34756,udp,Tag_173
34756,icmp,Tag_190
34756,tcp,Tag_104
12244,udp,Tag_44
35264,icmp,Tag_123
23644,tcp,Tag_39
35264,tcp,Tag_37
34756,udp,Tag_69
35264,tcp,Tag_92
23644,udp,Tag_105
35264,icmp,Tag_35
34756,udp,Tag_155
34756,udp,Tag_43
35264,udp,Tag_36
35264,tcp,Tag_98
12244,tcp,Tag_159
23644,icmp,Tag_63
35264,tcp,Tag_37
35264,udp,Tag_59
35264,icmp,Tag_45
34756,icmp,Tag_14
35264,icmp,Tag_71
35264,udp,Tag_191
34756,udp,Tag_61
34756,tcp,Tag_50
12244,udp,Tag_28
23644,icmp,Tag_95
12244,udp,Tag_39
35264,tcp,Tag_125
35264,udp,Tag_122
34756,icmp,Tag_33
34756,udp,Tag_158
35264,udp,Tag_70
34756,udp,Tag_173
23644,icmp,Tag_169
35264,icmp,Tag_30
35264,tcp,Tag_114
23644,udp,Tag_3
12244,udp,Tag_179
23644,icmp,Tag_88
34756,tcp,Tag_78
12244,udp,Tag_49
35264,icmp,Tag_29
23644,icmp,Tag_6
12244,tcp,Tag_109
35264,tcp,Tag_115
12244,tcp,Tag_64
35264,udp,Tag_115
34756,tcp,Tag_112
23644,udp,Tag_73
34756,udp,Tag_155
23644,udp,Tag_32
35264,udp,Tag_68
35264,tcp,Tag_163
35264,udp,Tag_159
23644,udp,Tag_134
35264,icmp,Tag_31
12244,tcp,Tag_189
35264,tcp,Tag_31
35264,icmp,Tag_8
34756,icmp,Tag_57
35264,icmp,Tag_82
34756,icmp,Tag_199
12244,tcp,Tag_141
34756,icmp,Tag_126
12244,udp,Tag_25
35264,udp,Tag_5
35264,udp,Tag_90
23644,tcp,Tag_178
12244,icmp,Tag_140
34756,tcp,Tag_149
12244,udp,Tag_32
34756,icmp,Tag_107
12244,icmp,Tag_30
35264,udp,Tag_168
23644,icmp,Tag_57
34756,udp,Tag_102
35264,icmp,Tag_11
34756,udp,Tag_148
35264,icmp,Tag_166
12244,icmp,Tag_33
35264,tcp,Tag_84
34756,tcp,Tag_185
23644,udp,Tag_31
35264,tcp,Tag_171
35264,icmp,Tag_139
12244,tcp,Tag_127
23644,icmp,Tag_190
34756,udp,Tag_19
12244,tcp,Tag_101
35264,udp,Tag_128
23644,tcp,Tag_27
23644,tcp,Tag_124
12244,tcp,Tag_53
35264,tcp,Tag_40
35264,icmp,Tag_199
34756,tcp,Tag_58
12244,tcp,Tag_85
35264,udp,Tag_125
34756,icmp,Tag_179
23644,udp,Tag_40
34756,udp,Tag_155
12244,tcp,Tag_175
35264,icmp,Tag_67
23644,icmp,Tag_129
35264,icmp,Tag_200
35264,icmp,Tag_137
12244,icmp,Tag_48
34756,tcp,Tag_82
12244,udp,Tag_56
35264,icmp,Tag_118
35264,udp,Tag_48
34756,icmp,Tag_108
35264,udp,Tag_192
